adapter,family,native_feature_names
mirp,glcm,"cm_auto_corr_d1_3d_v_mrg, cm_clust_prom_d1_3d_v_mrg, cm_clust_shade_d1_3d_v_mrg, cm_clust_tend_d1_3d_v_mrg, cm_contrast_d1_3d_v_mrg, cm_corr_d1_3d_v_mrg, cm_diff_avg_d1_3d_v_mrg, cm_diff_entr_d1_3d_v_mrg, cm_diff_var_d1_3d_v_mrg, cm_dissimilarity_d1_3d_v_mrg, cm_energy_d1_3d_v_mrg, cm_info_corr1_d1_3d_v_mrg, cm_info_corr2_d1_3d_v_mrg, cm_inv_diff_d1_3d_v_mrg, cm_inv_diff_mom_d1_3d_v_mrg, cm_inv_diff_mom_norm_d1_3d_v_mrg, cm_inv_diff_norm_d1_3d_v_mrg, cm_inv_var_d1_3d_v_mrg, cm_joint_avg_d1_3d_v_mrg, cm_joint_entr_d1_3d_v_mrg, cm_joint_max_d1_3d_v_mrg, cm_joint_var_d1_3d_v_mrg, cm_sum_avg_d1_3d_v_mrg, cm_sum_entr_d1_3d_v_mrg, cm_sum_var_d1_3d_v_mrg"
mirp,gldzm,"dzm_gl_var_3d, dzm_glnu_3d, dzm_glnu_norm_3d, dzm_hgze_3d, dzm_lde_3d, dzm_ldhge_3d, dzm_ldlge_3d, dzm_lgze_3d, dzm_sde_3d, dzm_sdhge_3d, dzm_sdlge_3d, dzm_z_perc_3d, dzm_zd_entr_3d, dzm_zd_var_3d, dzm_zdnu_3d, dzm_zdnu_norm_3d"
mirp,glrlm,"rlm_gl_var_3d_v_mrg, rlm_glnu_3d_v_mrg, rlm_glnu_norm_3d_v_mrg, rlm_hgre_3d_v_mrg, rlm_lgre_3d_v_mrg, rlm_lre_3d_v_mrg, rlm_lrhge_3d_v_mrg, rlm_lrlge_3d_v_mrg, rlm_r_perc_3d_v_mrg, rlm_rl_entr_3d_v_mrg, rlm_rl_var_3d_v_mrg, rlm_rlnu_3d_v_mrg, rlm_rlnu_norm_3d_v_mrg, rlm_sre_3d_v_mrg, rlm_srhge_3d_v_mrg, rlm_srlge_3d_v_mrg"
mirp,glszm,"szm_gl_var_3d, szm_glnu_3d, szm_glnu_norm_3d, szm_hgze_3d, szm_lgze_3d, szm_lze_3d, szm_lzhge_3d, szm_lzlge_3d, szm_sze_3d, szm_szhge_3d, szm_szlge_3d, szm_z_perc_3d, szm_zs_entr_3d, szm_zs_var_3d, szm_zsnu_3d, szm_zsnu_norm_3d"
mirp,histogram,"ih_cov, ih_entropy, ih_iqr, ih_kurt, ih_mad, ih_max, ih_max_grad, ih_max_grad_g, ih_mean, ih_medad, ih_median, ih_min, ih_min_grad, ih_min_grad_g, ih_mode, ih_p10, ih_p90, ih_qcod, ih_range, ih_rmad, ih_skew, ih_uniformity, ih_var"
mirp,intensity,"stat_cov, stat_energy, stat_energy_offset, stat_iqr, stat_kurt, stat_mad, stat_max, stat_mean, stat_medad, stat_median, stat_min, stat_p10, stat_p90, stat_qcod, stat_range, stat_rmad, stat_rms, stat_rms_offset, stat_skew, stat_var"
mirp,ivh,"ivh_auc, ivh_diff_i10_i90, ivh_diff_v10_v90, ivh_i10, ivh_i90, ivh_v10, ivh_v90"
mirp,local_intensity,"loc_peak_glob, loc_peak_loc"
mirp,morphology,"morph_area_dens_aabb, morph_area_dens_aee, morph_area_dens_conv_hull, morph_area_dens_mvee, morph_area_dens_ombb, morph_area_mesh, morph_asphericity, morph_av, morph_com, morph_comp_1, morph_comp_2, morph_diam, morph_geary_c, morph_integ_int, morph_moran_i, morph_pca_elongation, morph_pca_flatness, morph_pca_least_axis, morph_pca_maj_axis, morph_pca_min_axis, morph_sph_dispr, morph_sphericity, morph_vol_approx, morph_vol_dens_aabb, morph_vol_dens_aee, morph_vol_dens_conv_hull, morph_vol_dens_mvee, morph_vol_dens_ombb, morph_volume"
mirp,ngldm,"ngl_dc_energy_d1_a0.0_3d, ngl_dc_entr_d1_a0.0_3d, ngl_dc_perc_d1_a0.0_3d, ngl_dc_var_d1_a0.0_3d, ngl_dcnu_d1_a0.0_3d, ngl_dcnu_norm_d1_a0.0_3d, ngl_gl_var_d1_a0.0_3d, ngl_glnu_d1_a0.0_3d, ngl_glnu_norm_d1_a0.0_3d, ngl_hde_d1_a0.0_3d, ngl_hdhge_d1_a0.0_3d, ngl_hdlge_d1_a0.0_3d, ngl_hgce_d1_a0.0_3d, ngl_lde_d1_a0.0_3d, ngl_ldhge_d1_a0.0_3d, ngl_ldlge_d1_a0.0_3d, ngl_lgce_d1_a0.0_3d"
mirp,ngtdm,"ngt_busyness_3d, ngt_coarseness_3d, ngt_complexity_3d, ngt_contrast_3d, ngt_strength_3d"
pictologics,glcm,"angular_second_moment_8ZQL, autocorrelation_QWB0, cluster_prominence_AE86, cluster_shade_7NFM, cluster_tendency_DG8W, contrast_ACUI, correlation_NI2N, difference_average_TF7R, difference_entropy_NTRS, difference_variance_D3YU, dissimilarity_8S9J, information_correlation_1_R8DG, information_correlation_2_JN9H, inverse_difference_IB1Z, inverse_difference_moment_WF0Z, inverse_variance_E8JP, joint_average_60VM, joint_entropy_TU9B, joint_maximum_GYBY, joint_variance_UR99, normalised_inverse_difference_NDRX, normalised_inverse_difference_moment_1QCO, sum_average_ZGXS, sum_entropy_P6QZ, sum_variance_OEEB"
pictologics,gldzm,"grey_level_non_uniformity_VFT7, grey_level_variance_QK93, high_grey_level_zone_emphasis_K26C, large_distance_emphasis_MB4I, large_distance_high_grey_level_emphasis_KLTH, large_distance_low_grey_level_emphasis_A7WM, low_grey_level_zone_emphasis_S1RA, normalised_grey_level_non_uniformity_7HP3, normalised_zone_distance_non_uniformity_IATH, small_distance_emphasis_0GBI, small_distance_high_grey_level_emphasis_DKNJ, small_distance_low_grey_level_emphasis_RUVG, zone_distance_entropy_GBDU, zone_distance_non_uniformity_V294, zone_distance_variance_7WT1, zone_percentage_VIWW"
pictologics,glrlm,"grey_level_non_uniformity_R5YN, grey_level_variance_8CE5, high_grey_level_run_emphasis_G3QZ, long_run_high_grey_level_emphasis_3KUM, long_run_low_grey_level_emphasis_IVPO, long_runs_emphasis_W4KF, low_grey_level_run_emphasis_V3SW, normalised_grey_level_non_uniformity_OVBL, normalised_run_length_non_uniformity_IC23, run_entropy_HJ9O, run_length_non_uniformity_W92Y, run_length_variance_SXLW, run_percentage_9ZK5, short_run_high_grey_level_emphasis_GD3A, short_run_low_grey_level_emphasis_HTZT, short_runs_emphasis_22OV"
pictologics,glszm,"grey_level_non_uniformity_JNSA, grey_level_variance_BYLV, high_grey_level_zone_emphasis_5GN9, large_zone_emphasis_48P8, large_zone_high_grey_level_emphasis_J17V, large_zone_low_grey_level_emphasis_YH51, low_grey_level_zone_emphasis_XMSY, normalised_grey_level_non_uniformity_Y1RO, normalised_zone_size_non_uniformity_VB3A, small_zone_emphasis_P001, small_zone_high_grey_level_emphasis_HW1V, small_zone_low_grey_level_emphasis_5RAI, zone_percentage_P30P, zone_size_entropy_GU8N, zone_size_non_uniformity_4JP3, zone_size_variance_3NSA"
pictologics,histogram,"10th_discretised_intensity_percentile_1PR, 90th_discretised_intensity_percentile_GPMT, discretised_intensity_entropy_TLU2, discretised_intensity_interquartile_range_WR0O, discretised_intensity_kurtosis_C3I7, discretised_intensity_range_5Z3W, discretised_intensity_skewness_88K1, discretised_intensity_uniformity_BJ5W, discretised_intensity_variance_CH89, intensity_histogram_coefficient_of_variation_CWYJ, intensity_histogram_mean_absolute_deviation_D2ZX, intensity_histogram_median_absolute_deviation_4RNL, intensity_histogram_mode_AMMC, intensity_histogram_quartile_coefficient_of_dispersion_SLWD, intensity_histogram_robust_mean_absolute_deviation_WRZB, maximum_discretised_intensity_3NCY, maximum_histogram_gradient_12CE, maximum_histogram_gradient_intensity_8E6O, mean_discretised_intensity_X6K6, median_discretised_intensity_WIFQ, minimum_discretised_intensity_1PR8, minimum_histogram_gradient_VQB3, minimum_histogram_gradient_intensity_RHQZ"
pictologics,intensity,"10th_intensity_percentile_QG58, 90th_intensity_percentile_8DWT, intensity_coefficient_of_variation_7TET, intensity_energy_N8CA, intensity_interquartile_range_SALO, intensity_kurtosis_IPH6, intensity_mean_absolute_deviation_4FUA, intensity_median_absolute_deviation_N72L, intensity_quartile_coefficient_of_dispersion_9S40, intensity_range_2OJQ, intensity_robust_mean_absolute_deviation_1128, intensity_skewness_KE2A, intensity_variance_ECT3, maximum_intensity_84IY, mean_intensity_Q4LE, median_intensity_Y12H, minimum_intensity_1GSF, root_mean_square_intensity_5ZWQ"
pictologics,ivh,"area_under_the_ivh_curve_9CMM, intensity_at_volume_fraction_0.10_GBPN_10, intensity_at_volume_fraction_0.90_GBPN_90, intensity_fraction_difference_between_volume_0.10_and_0.90_fractions_CNV2, volume_at_intensity_fraction_0.10_BC2M_10, volume_at_intensity_fraction_0.90_BC2M_90, volume_fraction_difference_between_intensity_0.10_and_0.90_fractions_DDTU"
pictologics,local_intensity,"global_intensity_peak_0F91, local_intensity_peak_VJGA"
pictologics,morphology,"area_density_aabb_R59B, area_density_aee_RDD2, area_density_convex_hull_7T7F, area_density_mvee_BRI8, area_density_ombb_IQYR, asphericity_25C7, center_of_mass_shift_KLMA, compactness_1_SKGS, compactness_2_BQWJ, elongation_Q3CK, flatness_N17B, gearys_c_measure_NPT7, integrated_intensity_99N0, least_axis_length_7J51, major_axis_length_TDIC, maximum_3d_diameter_L0JK, minor_axis_length_P9VJ, morans_i_index_N365, spherical_disproportion_KRCK, sphericity_QCFX, surface_area_C0JK, surface_to_volume_ratio_2PR5, volume_RNU0, volume_density_aabb_PBX1, volume_density_aee_6BDE, volume_density_convex_hull_R3ER, volume_density_mvee_SWZ1, volume_density_ombb_ZH1A, volume_voxel_counting_YEKZ"
pictologics,ngldm,"dependence_count_energy_CAS9, dependence_count_entropy_FCBV, dependence_count_non_uniformity_Z87G, dependence_count_percentage_6XV8, dependence_count_variance_DNX2, grey_level_non_uniformity_FP8K, grey_level_variance_1PFV, high_dependence_emphasis_IMOQ, high_dependence_high_grey_level_emphasis_9QMG, high_dependence_low_grey_level_emphasis_NBZI, high_grey_level_count_emphasis_OAE7, low_dependence_emphasis_SODN, low_dependence_high_grey_level_emphasis_JA6D, low_dependence_low_grey_level_emphasis_EQ3F, low_grey_level_count_emphasis_TL9H, normalised_dependence_count_non_uniformity_OKJI, normalised_grey_level_non_uniformity_5SPA"
pictologics,ngtdm,"busyness_NQ30, coarseness_QCDE, complexity_HDEZ, contrast_65HE, strength_1X9X"
pyradiomics,glcm,"original_glcm_Autocorrelation, original_glcm_ClusterProminence, original_glcm_ClusterShade, original_glcm_ClusterTendency, original_glcm_ClusterTendency [documented exact alias], original_glcm_Contrast, original_glcm_Correlation, original_glcm_DifferenceAverage, original_glcm_DifferenceAverage [documented exact alias], original_glcm_DifferenceEntropy, original_glcm_DifferenceVariance, original_glcm_Id, original_glcm_Idm, original_glcm_Idmn, original_glcm_Idn, original_glcm_Imc1, original_glcm_Imc2, original_glcm_InverseVariance, original_glcm_JointAverage, original_glcm_JointEnergy, original_glcm_JointEntropy, original_glcm_MaximumProbability, original_glcm_SumAverage, original_glcm_SumEntropy, original_glcm_SumSquares"
pyradiomics,glrlm,"original_glrlm_GrayLevelNonUniformity, original_glrlm_GrayLevelNonUniformityNormalized, original_glrlm_GrayLevelVariance, original_glrlm_HighGrayLevelRunEmphasis, original_glrlm_LongRunEmphasis, original_glrlm_LongRunHighGrayLevelEmphasis, original_glrlm_LongRunLowGrayLevelEmphasis, original_glrlm_LowGrayLevelRunEmphasis, original_glrlm_RunEntropy, original_glrlm_RunLengthNonUniformity, original_glrlm_RunLengthNonUniformityNormalized, original_glrlm_RunPercentage, original_glrlm_RunVariance, original_glrlm_ShortRunEmphasis, original_glrlm_ShortRunHighGrayLevelEmphasis, original_glrlm_ShortRunLowGrayLevelEmphasis"
pyradiomics,glszm,"original_glszm_GrayLevelNonUniformity, original_glszm_GrayLevelNonUniformityNormalized, original_glszm_GrayLevelVariance, original_glszm_HighGrayLevelZoneEmphasis, original_glszm_LargeAreaEmphasis, original_glszm_LargeAreaHighGrayLevelEmphasis, original_glszm_LargeAreaLowGrayLevelEmphasis, original_glszm_LowGrayLevelZoneEmphasis, original_glszm_SizeZoneNonUniformity, original_glszm_SizeZoneNonUniformityNormalized, original_glszm_SmallAreaEmphasis, original_glszm_SmallAreaHighGrayLevelEmphasis, original_glszm_SmallAreaLowGrayLevelEmphasis, original_glszm_ZoneEntropy, original_glszm_ZonePercentage, original_glszm_ZoneVariance"
pyradiomics,histogram,"original_firstorder_Entropy, original_firstorder_Uniformity"
pyradiomics,intensity,"original_firstorder_10Percentile, original_firstorder_90Percentile, original_firstorder_Energy, original_firstorder_InterquartileRange, original_firstorder_Kurtosis, original_firstorder_Maximum, original_firstorder_Mean, original_firstorder_MeanAbsoluteDeviation, original_firstorder_Median, original_firstorder_Minimum, original_firstorder_Range, original_firstorder_RobustMeanAbsoluteDeviation, original_firstorder_RootMeanSquared, original_firstorder_Skewness, original_firstorder_Variance"
pyradiomics,morphology,"original_shape_Compactness1, original_shape_Compactness2, original_shape_Elongation, original_shape_Flatness, original_shape_LeastAxisLength, original_shape_MajorAxisLength, original_shape_Maximum3DDiameter, original_shape_MeshVolume, original_shape_MinorAxisLength, original_shape_SphericalDisproportion, original_shape_Sphericity, original_shape_SurfaceArea, original_shape_SurfaceVolumeRatio, original_shape_VoxelVolume"
pyradiomics,ngldm,"original_firstorder_Uniformity [documented exact alias], original_gldm_DependenceEntropy, original_gldm_DependenceNonUniformity, original_gldm_DependenceNonUniformityNormalized, original_gldm_DependenceVariance, original_gldm_GrayLevelNonUniformity, original_gldm_GrayLevelVariance, original_gldm_HighGrayLevelEmphasis, original_gldm_LargeDependenceEmphasis, original_gldm_LargeDependenceHighGrayLevelEmphasis, original_gldm_LargeDependenceLowGrayLevelEmphasis, original_gldm_LowGrayLevelEmphasis, original_gldm_SmallDependenceEmphasis, original_gldm_SmallDependenceHighGrayLevelEmphasis, original_gldm_SmallDependenceLowGrayLevelEmphasis"
pyradiomics,ngtdm,"original_ngtdm_Busyness, original_ngtdm_Coarseness, original_ngtdm_Complexity, original_ngtdm_Contrast, original_ngtdm_Strength"
zrad,glcm,"cm_auto_corr_3D_comb, cm_clust_prom_3D_comb, cm_clust_shade_3D_comb, cm_clust_tend_3D_comb, cm_contrast_3D_comb, cm_corr_3D_comb, cm_diff_avg_3D_comb, cm_diff_entr_3D_comb, cm_diff_var_3D_comb, cm_dissimilarity_3D_comb, cm_energy_3D_comb, cm_info_corr1_3D_comb, cm_info_corr2_3D_comb, cm_inv_diff_3D_comb, cm_inv_diff_mom_3D_comb, cm_inv_diff_mom_norm_3D_comb, cm_inv_diff_norm_3D_comb, cm_inv_var_3D_comb, cm_joint_avg_3D_comb, cm_joint_entr_3D_comb, cm_joint_max_3D_comb, cm_joint_var_3D_comb, cm_sum_avg_3D_comb, cm_sum_entr_3D_comb, cm_sum_var_3D_comb"
zrad,gldzm,"dzm_gl_var_3D, dzm_glnu_3D, dzm_glnu_norm_3D, dzm_hgze_3D, dzm_lde_3D, dzm_ldhge_3D, dzm_ldlge_3D, dzm_lgze_3D, dzm_sde_3D, dzm_sdhge_3D, dzm_sdlge_3D, dzm_z_perc_3D, dzm_zd_entr_3D, dzm_zd_var_3D, dzm_zdnu_3D, dzm_zdnu_norm_3D"
zrad,glrlm,"rlm_gl_var_3D_comb, rlm_glnu_3D_comb, rlm_glnu_norm_3D_comb, rlm_hgre_3D_comb, rlm_lgre_3D_comb, rlm_lre_3D_comb, rlm_lrhge_3D_comb, rlm_lrlge_3D_comb, rlm_r_perc_3D_comb, rlm_rl_entr_3D_comb, rlm_rl_var_3D_comb, rlm_rlnu_3D_comb, rlm_rlnu_norm_3D_comb, rlm_sre_3D_comb, rlm_srhge_3D_comb, rlm_srlge_3D_comb"
zrad,glszm,"szm_gl_var_3D, szm_glnu_3D, szm_glnu_norm_3D, szm_hgze_3D, szm_lgze_3D, szm_lze_3D, szm_lzhge_3D, szm_lzlge_3D, szm_sze_3D, szm_szhge_3D, szm_szlge_3D, szm_z_perc_3D, szm_zs_entr_3D, szm_zs_var_3D, szm_zsnu_3D, szm_zsnu_norm_3D"
zrad,histogram,"ih_cov, ih_entropy, ih_iqr, ih_kurt, ih_mad, ih_max, ih_max_grad, ih_max_grad_g, ih_mean, ih_medad, ih_median, ih_min, ih_min_grad, ih_min_grad_g, ih_mode, ih_p10, ih_p90, ih_qcod, ih_range, ih_rmad, ih_skew, ih_uniformity, ih_var"
zrad,intensity,"stat_cov, stat_energy, stat_iqr, stat_kurt, stat_mad, stat_max, stat_mean, stat_medad, stat_median, stat_min, stat_p10, stat_p90, stat_qcod, stat_range, stat_rmad, stat_rms, stat_skew, stat_var"
zrad,ivh,"ivh_diff_i10_i90, ivh_diff_v10_v90, ivh_i10, ivh_i90, ivh_v10, ivh_v90"
zrad,local_intensity,"loc_peak_glob, loc_peak_loc"
zrad,morphology,"morph_area_dens_aabb, morph_area_dens_aee, morph_area_dens_conv_hull, morph_area_mesh, morph_asphericity, morph_av, morph_com, morph_comp_1, morph_comp_2, morph_diam, morph_geary_c, morph_integ_int, morph_moran_i, morph_pca_elongation, morph_pca_flatness, morph_pca_least_axis, morph_pca_maj_axis, morph_pca_min_axis, morph_sph_dispr, morph_sphericity, morph_vol_approx, morph_vol_dens_aabb, morph_vol_dens_aee, morph_vol_dens_conv_hull, morph_volume"
zrad,ngldm,"ngl_dc_energy_3D, ngl_dc_entr_3D, ngl_dc_perc_3D, ngl_dc_var_3D, ngl_dcnu_3D, ngl_dcnu_norm_3D, ngl_gl_var_3D, ngl_glnu_3D, ngl_glnu_norm_3D, ngl_hde_3D, ngl_hdhge_3D, ngl_hdlge_3D, ngl_hgce_3D, ngl_lde_3D, ngl_ldhge_3D, ngl_ldlge_3D, ngl_lgce_3D"
zrad,ngtdm,"ngt_busyness_3D, ngt_coarseness_3D, ngt_complexity_3D, ngt_contrast_3D, ngt_strength_3D"
